timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
972000,972000,1310988,-0.04070143,0.047884032,-9.765948,14.819214,0,0,0,0,1
1972000,1972000,1310988,-0.009576807,-0.023942016,-9.895236,14.819214,0,0,0,0,1
2972000,2972000,1310988,0.0,-0.019153614,-9.763555,14.819214,0,0,0,0,1
3972000,3972000,1310988,0.0,0.031124622,-9.76116,14.819214,0,0,0,0,1
4972000,4972000,1310988,-0.023942016,-0.04070143,-9.868899,14.819214,0,0,0,0,1
5972000,5972000,1310988,0.0023942017,0.038307227,-9.799467,14.819214,0,0,0,0,1
6972000,6972000,1310988,-0.045489833,-0.007182605,-9.7084875,14.819214,0,0,0,0,1
7972000,7972000,1310988,-0.016759412,-0.0047884034,-9.78989,14.819214,0,0,0,0,1
8972000,8972000,1310988,0.0023942017,-0.04309563,-9.818622,14.819214,0,0,0,0,1
9972000,9972000,1310988,0.02873042,-0.05746084,-9.828198,14.819214,0,0,0,0,1
10972000,10972000,1310988,0.0023942017,-0.093373865,-9.768343,14.819214,0,0,0,0,1
11972000,11972000,1310988,0.011971008,-0.0047884034,-9.679757,14.819214,0,0,0,0,1
12972000,12972000,1310988,0.033518825,-0.011971008,-9.818622,14.819214,0,0,0,0,1
13972000,13972000,1310988,-0.023942016,-0.016759412,-9.77792,14.819214,0,0,0,0,1
14972000,14972000,1310988,0.059855044,0.021547815,-9.801862,14.819214,0,0,0,0,1
15972000,15972000,1310988,0.047884032,-0.045489833,-9.77792,14.819214,0,0,0,0,1
16972000,16972000,1310988,0.05746084,-0.076614454,-9.832987,14.819214,0,0,0,0,1
17972000,17972000,1310988,0.06464344,-0.02873042,-9.80665,14.819214,0,0,0,0,1
18972000,18972000,1310988,0.023942016,-0.110133275,-9.82341,14.819214,0,0,0,0,1
19972000,19972000,1310988,0.079008654,-0.11252748,-9.835381,14.819214,0,0,0,0,1
20972000,20972000,1310988,0.047884032,-0.016759412,-9.76116,14.819214,0,0,0,0,1
21972000,21972000,1310988,0.045489833,-0.02633622,-9.775525,14.819214,0,0,0,0,1
22972000,22972000,1310988,0.047884032,-0.055066638,-9.706094,14.819214,0,0,0,0,1
23972000,23972000,1310988,-0.019153614,0.0023942017,-9.813833,14.819214,0,0,0,0,1
24972000,24972000,1310988,0.0,0.007182605,-9.7803135,14.819214,0,0,0,0,1
25972000,25972000,1310988,-0.019153614,-0.019153614,-9.739613,14.819214,0,0,0,0,1
26972000,26972000,1310988,0.10055647,-0.019153614,-9.718064,14.819214,0,0,0,0,1
27972000,27972000,1310988,-0.021547815,-0.0023942017,-9.758766,14.819214,0,0,0,0,1
28972000,28972000,1310988,-0.033518825,-0.0047884034,-9.696517,14.819214,0,0,0,0,1
29972000,29972000,1310988,-0.050278235,-0.016759412,-9.770737,14.819214,0,0,0,0,1
30972000,30972000,1310988,0.02633622,-0.076614454,-9.847352,14.819214,0,0,0,0,1
31972000,31972000,1310988,-0.009576807,-0.050278235,-9.68694,14.819214,0,0,0,0,1
32972000,32972000,1310988,-0.021547815,-0.04309563,-9.799467,14.819214,0,0,0,0,1
33972000,33972000,1310988,-0.011971008,-0.047884032,-9.703699,14.819214,0,0,0,0,1
34972000,34972000,1310988,-0.009576807,-0.033518825,-9.751583,14.819214,0,0,0,0,1
35972000,35972000,1310988,0.0023942017,-0.045489833,-9.703699,14.819214,0,0,0,0,1
36972000,36972000,1310988,0.08140286,-0.07182605,-9.701305,14.819214,0,0,0,0,1
37972000,37972000,1310988,-0.07182605,0.019153614,-9.758766,14.819214,0,0,0,0,1
38972000,38972000,1310988,-0.007182605,0.02633622,-9.698911,14.819214,0,0,0,0,1
39972000,39972000,1310988,0.045489833,-0.06703765,-9.7324295,14.819214,0,0,0,0,1
40972000,40972000,1310988,0.021547815,-0.019153614,-9.739613,14.819214,0,0,0,0,1
41972000,41972000,1310988,-0.059855044,-0.05267244,-9.627085,14.819214,0,0,0,0,1
42972000,42972000,1310988,-0.033518825,0.0047884034,-9.818622,14.819214,0,0,0,0,1
43972000,43972000,1310988,-0.021547815,0.02873042,-9.758766,14.819214,0,0,0,0,1
44972000,44972000,1310988,0.038307227,-0.035913024,-9.696517,14.819214,0,0,0,0,1
45972000,45972000,1310988,0.04070143,-0.009576807,-9.706094,14.819214,0,0,0,0,1
46972000,46972000,1310988,-0.090979666,-0.035913024,-9.744401,14.819214,0,0,0,0,1
47972000,47972000,1310988,-0.031124622,-0.090979666,-9.665392,14.819214,0,0,0,0,1
48972000,48972000,1310988,-0.009576807,-0.01436521,-9.694122,14.819214,0,0,0,0,1
49972000,49972000,1310988,0.021547815,-0.06703765,-9.619903,14.819214,0,0,0,0,1
50972000,50972000,1310988,-0.016759412,0.035913024,-9.574412,14.819214,0,0,0,0,1
51972000,51972000,1310988,0.019153614,-0.076614454,-9.722853,14.819214,0,0,0,0,1
52972000,52972000,1310988,0.016759412,0.031124622,-9.722853,14.819214,0,0,0,0,1
53972000,53972000,1310988,-0.1388637,-0.038307227,-9.653421,14.819214,0,0,0,0,1
54972000,54972000,1310988,0.01436521,0.011971008,-9.672575,14.819214,0,0,0,0,1
55972000,55972000,1310988,-0.0047884034,0.007182605,-9.648633,14.819214,0,0,0,0,1
56972000,56972000,1310988,0.038307227,-0.055066638,-9.689334,14.819214,0,0,0,0,1
57972000,57972000,1310988,-0.045489833,-0.045489833,-9.691729,14.819214,0,0,0,0,1
