timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
46412000,46412000,36.321577314306026,127.41172247324998,28.459415,28.578884,-0.0,1.1010623,1.1046865,28.391413,2,0,1,0
47412000,47412000,36.32157730214248,127.41172254802008,28.463957,28.589367,-0.0,1.1101228,1.107413,28.376709,2,0,1,0
48412000,48412000,36.32157732701596,127.41172249446623,28.475662,28.606197,-0.0,1.1033254,1.1049374,28.38535,2,0,1,0
49412000,49412000,36.32157729223803,127.41172247334015,28.462048,28.5986,-0.0,1.097272,1.1045771,28.37876,2,0,1,0
50412000,50412000,36.32157730314985,127.41172249451792,28.440857,28.58301,-0.0,1.107308,1.1075251,28.351421,2,0,1,0
51412000,51412000,36.32157722085478,127.41172268878644,28.439425,28.589212,-0.0,1.0995773,1.1050715,28.37327,2,0,1,0
52412000,52412000,36.32157717221358,127.41172272053909,28.443655,28.597439,-0.0,1.1091508,1.1061674,28.35616,2,0,1,0
53412000,53412000,36.32157720414669,127.41172262625524,28.443392,28.60338,-0.0,1.1005685,1.1053895,28.372038,2,0,1,0
54412000,54412000,36.321577266200194,127.41172268073646,28.46356,28.62601,-0.0,1.1098236,1.106541,28.375004,2,0,1,0
55412000,55412000,36.32157726506664,127.41172265280663,28.468374,28.632294,-0.0,1.1009135,1.1059035,28.387728,2,0,1,0
56412000,56412000,36.32157731875374,127.41172265378266,28.483522,28.648079,-0.0,1.1100227,1.1068766,28.392168,2,0,1,0
57412000,57412000,36.32157734962694,127.41172265031749,28.498009,28.661509,-0.0,1.1010114,1.1061313,28.408928,2,0,1,0
58412000,58412000,36.32157738603935,127.41172270274569,28.50799,28.669464,-0.0,1.0941031,1.1036136,28.425657,2,0,1,0
59412000,59412000,36.32157750419411,127.41172254363597,28.529606,28.68683,-0.0,1.0907406,1.1032224,28.441092,2,0,1,0
60412000,60412000,36.32157757808464,127.41172256624544,28.537077,28.690598,-0.0,1.101783,1.1044773,28.441242,2,0,1,0
61412000,61412000,36.32157761200169,127.41172240915327,28.522453,28.672338,-0.0,1.0964998,1.104358,28.432323,2,0,1,0
