timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
6500000,6500000,804000,36.3215774,127.4117224,-0.003046378,-0.001565319,0.033332817,0.00039837,6.51E-05,0,-0.006754655,0.000853119,0.00627153,-0.012984999,-0.001178325,-0.008305827,-0.011701867,-0.011312828,0.04327977,0.038987953,1.5618757,0.000198782,28.71612,0.10798258,0.7290209,0.6614403,0.317362,0.21220994,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
7000000,7000000,804000,36.3215774,127.4117224,-0.004930588,0.000893957,0.045713276,0.00039837,6.51E-05,0,-0.006630104,0.00283848,0.015569498,0.00892691,-0.001178325,-0.008305827,-0.011701867,0.04306731,0.03691009,0.057387162,1.5620222,0.000198782,28.71612,0.103268236,0.6780843,0.62353486,0.36661398,0.22224349,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
7500000,7500000,804000,36.3215774,127.4117224,-0.000582813,0.002266805,0.05212778,0.00039837,6.51E-05,0,-0.000843746,0.001089805,0.01709905,0.010220526,-0.001178325,-0.008305827,-0.011701867,-0.033356987,-0.04746199,0.104120925,1.5606194,0.000198782,28.71612,0.1,0.5749701,0.58117074,0.30187523,0.20903166,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
8000000,8000000,804000,36.3215774,127.4117224,0.003264952,-0.000484452,0.0535383,0.00039837,6.51E-05,0,0.009654446,-0.00269225,0.019875722,0.008949026,-0.001178325,-0.008305827,-0.011701867,-0.010127572,0.12498779,0.03721192,1.5606635,0.000198782,28.71612,0.1,0.56259036,0.5667803,0.3260796,0.2176834,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
8500000,8500000,804000,36.3215774,127.4117224,0.007614375,-0.004291917,0.05440978,0.00039837,6.51E-05,0,0.017313026,-0.006913894,0.022313423,0.008096834,-0.001178325,-0.008305827,-0.011701867,-0.032098863,-0.06800014,0.037036832,1.5601377,0.000198782,28.71612,0.1,0.55966234,0.5589694,0.34910244,0.22403024,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
9000000,9000000,804000,36.3215774,127.4117224,-0.002424848,-0.005296507,0.04205884,0.00039837,6.51E-05,0,0.003196652,-0.009662279,0.009834997,-0.013938459,-0.001178325,-0.008305827,-0.011701867,0.00836652,-0.06718638,0.035755333,1.560336,0.000198782,28.71612,0.1,0.5639953,0.55540234,0.37155402,0.2279119,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
9500000,9500000,804000,36.3215774,127.4117224,-0.006649357,0.001910398,0.032140948,0.00039837,6.51E-05,0,-0.003426357,0.003877016,0.004027668,-0.02098417,-0.001178325,-0.008305827,-0.011701867,0.029918466,0.06937118,0.01090858,1.5600572,0.000198782,28.71612,0.1,0.50288695,0.52951944,0.29400757,0.20568152,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10000000,10000000,804000,36.3215774,127.4117224,-0.012648803,0.004237434,0.014709155,0.00039837,6.51E-05,0,-0.008813277,0.00461283,-0.003411833,-0.030328661,-0.001178325,-0.008305827,-0.011701867,-0.03943753,0.03342931,-0.017079523,1.5591891,0.000198782,28.71612,0.10151587,0.5097759,0.5300391,0.31089732,0.20681371,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10500000,10500000,804000,36.3215774,127.4117224,-0.01205872,0.004266461,0.009889063,0.00039837,6.51E-05,0,-0.008510381,0.007515349,-0.005717046,-0.02295704,-0.001178325,-0.008305827,-0.011701867,0.024811717,0.008743415,0.03752112,1.5595891,0.000198782,28.71612,0.104027696,0.5200145,0.5261496,0.3262095,0.20580307,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11000000,11000000,804000,36.3215774,127.4117224,-0.017122013,0.003124375,0.022615086,0.00039837,6.51E-05,0,-0.007831799,0.005694112,0.003785025,0.00406331,-0.001178325,-0.008305827,-0.011701867,0.005921507,-0.020323288,-0.039143484,1.5594864,0.000198782,28.71612,0.107159525,0.5331732,0.5289253,0.33959293,0.2047346,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
